"","HighCorrPositivelag","HighCorrNegativelag","Enthusiasticlag","Relaxedlag","Sadlag","Nervouslag","Stressedlag","MWoccurlag","EmotionChronometrylag","HighCorrPositive","HighCorrNegative","Enthusiastic","Relaxed","Sad","Nervous","Stressed","MWoccur","EmotionChronometry","TimeofDay"
"HighCorrPositive",0.1273,0,0,0,0,0,0,0,0,0,0,0,0.1232,0,0,0,0,0,0
"HighCorrNegative",0,0.0911,0,0,0,0,0,0,0,0.2404,0,0,0,0,0,0,0,0,0
"Enthusiastic",0,0,0.1008,0,0,0,0,0,0,0.1275,0,0,0,0,0,0,0,0,0
"Relaxed",0,0,0,0.0988,0,0,0,0,0,0,0,0,0,0.0582,0,0.0614,0,0,0
"Sad",0,0,0,0,0.075,0,0,0,0,0.1408,0.0587,0,0,0,0,0,0,0,0
"Nervous",0,0,0,0,0,0.0812,0,0,0,0,0,0,0,0,0,0.0934,0,0,0
"Stressed",0,0.0646,0,0,0,0,0.0979,0,0,0,0.0601,0,0,0,0,0,0,0,0
"MWoccur",0,0,0,0,0,0,0,0.1232,0,0,0.085,0,0,0,0,0,0,0,0
"EmotionChronometry",0,0,0,0,0,0,0,0,0.1329,0,0,0,0,0,0,0,0,0,0
