"","TimeofDay","HighCorrPositivelag","HighCorrNegativelag","Enthusiasticlag","Relaxedlag","Sadlag","Nervouslag","Stressedlag","MWoccurlag","EmotionChronometrylag","HighCorrPositive","HighCorrNegative","Enthusiastic","Relaxed","Sad","Nervous","Stressed","MWoccur","EmotionChronometry"
"TimeofDay",1.0621,0.0117,-0.1401,0.2991,-0.0755,-0.006,0.1345,-0.1127,-0.1046,-0.0245,0,0,0,0,0,0,0,0,0
"HighCorrPositivelag",0.0117,0.3104,-0.55,0.2699,0.192,-0.3937,-0.2142,-0.1696,-0.1872,0.0243,0,0,0,0,0,0,0,0,0
"HighCorrNegativelag",-0.1401,-0.55,2.0143,-0.5385,-0.6349,1.0928,0.7887,0.7026,0.6096,-0.0095,0,0,0,0,0,0,0,0,0
"Enthusiasticlag",0.2991,0.2699,-0.5385,0.6175,0.1209,-0.4015,-0.0354,-0.1234,-0.1041,0.0135,0,0,0,0,0,0,0,0,0
"Relaxedlag",-0.0755,0.192,-0.6349,0.1209,0.4594,-0.3616,-0.4727,-0.438,-0.2443,-0.0536,0,0,0,0,0,0,0,0,0
"Sadlag",-0.006,-0.3937,1.0928,-0.4015,-0.3616,0.8899,0.3322,0.2984,0.3662,-0.0342,0,0,0,0,0,0,0,0,0
"Nervouslag",0.1345,-0.2142,0.7887,-0.0354,-0.4727,0.3322,1.0071,0.7139,0.2675,0.0771,0,0,0,0,0,0,0,0,0
"Stressedlag",-0.1127,-0.1696,0.7026,-0.1234,-0.438,0.2984,0.7139,0.7209,0.2723,0.0699,0,0,0,0,0,0,0,0,0
"MWoccurlag",-0.1046,-0.1872,0.6096,-0.1041,-0.2443,0.3662,0.2675,0.2723,1.1761,0.0055,0,0,0,0,0,0,0,0,0
"EmotionChronometrylag",-0.0245,0.0243,-0.0095,0.0135,-0.0536,-0.0342,0.0771,0.0699,0.0055,0.1745,0,0,0,0,0,0,0,0,0
"HighCorrPositive",0,0,0,0,0,0,0,0,0,0,0.2162,0,0,0,0,0,0,0,0
"HighCorrNegative",0,0,0,0,0,0,0,0,0,0,0,0.8308,0,0,0,0,0,0,0
"Enthusiastic",0,0,0,0,0,0,0,0,0,0,0,0,0.2828,0,0,0,0,0,0
"Relaxed",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1336,0,0,0,0,0
"Sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1987,0,0,0,0
"Nervous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2224,0,0,0
"Stressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2649,0,0
"MWoccur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9849,0
"EmotionChronometry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1706
