"","TimeofDay","HighCorrPositivelag","HighCorrNegativelag","Enthusiasticlag","Relaxedlag","Sadlag","Nervouslag","Stressedlag","MWoccurlag","EmotionChronometrylag","HighCorrPositive","HighCorrNegative","Enthusiastic","Relaxed","Sad","Nervous","Stressed","MWoccur","EmotionChronometry"
"TimeofDay",1,-0.2196,0.1015,-0.1778,-0.231,0.1295,0.0209,0.0697,0.2302,-0.2748,0,0,0,0,0,0,0,0,0
"HighCorrPositivelag",-0.2196,1,-0.3118,0.6242,0.5689,-0.5434,-0.4562,-0.4616,0.1689,0.0609,0,0,0,0,0,0,0,0,0
"HighCorrNegativelag",0.1015,-0.3118,1,-0.2115,-0.4506,0.156,0.446,0.4534,-0.1277,0.0036,0,0,0,0,0,0,0,0,0
"Enthusiasticlag",-0.1778,0.6242,-0.2115,1,0.3082,-0.279,-0.2282,0.0275,0.1978,0.0773,0,0,0,0,0,0,0,0,0
"Relaxedlag",-0.231,0.5689,-0.4506,0.3082,1,-0.2094,-0.3633,-0.5965,0.0262,-0.0154,0,0,0,0,0,0,0,0,0
"Sadlag",0.1295,-0.5434,0.156,-0.279,-0.2094,1,0.4511,0.3687,-0.141,0.0019,0,0,0,0,0,0,0,0,0
"Nervouslag",0.0209,-0.4562,0.446,-0.2282,-0.3633,0.4511,1,0.6413,-0.1596,-0.0575,0,0,0,0,0,0,0,0,0
"Stressedlag",0.0697,-0.4616,0.4534,0.0275,-0.5965,0.3687,0.6413,1,-0.2535,0.1516,0,0,0,0,0,0,0,0,0
"MWoccurlag",0.2302,0.1689,-0.1277,0.1978,0.0262,-0.141,-0.1596,-0.2535,1,-0.1527,0,0,0,0,0,0,0,0,0
"EmotionChronometrylag",-0.2748,0.0609,0.0036,0.0773,-0.0154,0.0019,-0.0575,0.1516,-0.1527,1,0,0,0,0,0,0,0,0,0
"HighCorrPositive",0,0,0,0,0,0,0,0,0,0,0.4296,0,0,0,0,0,0,0,0
"HighCorrNegative",0,0,0,0,0,0,0,0,0,0,0,0.5237,0,0,0,0,0,0,0
"Enthusiastic",0,0,0,0,0,0,0,0,0,0,0,0,0.4874,0,0,0,0,0,0
"Relaxed",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7117,0,0,0,0,0
"Sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6197,0,0,0,0
"Nervous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5918,0,0,0
"Stressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3847,0,0
"MWoccur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9722,0
"EmotionChronometry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9369
