"TimeofDay","HighCorrPositive","HighCorrNegative","Enthusiastic","Relaxed","Sad","Nervous","Stressed","MWoccur","EmotionChronometry"
0,0.0589818019208074,0.754620523775328,-0.242138625227208,0.146669959898518,0.269149269822894,0.0524920221126559,-0.155890374093941,-0.644024801365297,0.126494929807835
1.414213562,-0.392925633219062,0.557563194808751,-0.23232540928751,0.152854484241594,0.556100297833242,0.398042068532889,-0.156508514705515,0.488632453576812,0.666056708406384
2,0.537659158672168,0.972271629838012,-0.222512193347813,0.159039008584671,-0.0557203680106928,-0.259813076969562,-0.157126655317089,-1.71906620115985,-0.377659737417844
2.449489743,0.853802960771799,-0.652239148452189,-0.803870895229907,-0.426616548827843,-0.0683599046184395,0.420205366758233,0.437701720720664,-1.69986091611067,-0.173944854908975
2.828427125,-0.67337620650337,1.39384465723264,-0.794057679290209,-0.420432024484766,0.518181688010001,-0.237649778744219,0.43708358010909,0.546248308724364,-1.00655753747683
3.16227766,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.25720858538786,0.585021564270227,-0.0452795660732714,-0.41424750014169,0.655337433711302,0.275134466329795,0.287603810335184,-0.547998376119377,0.574129618999724
1.414213562,0.573352387487491,0.999729999299488,1.59025642387635,-0.408062975798614,1.0920837440307,0.453450314096248,-0.755045734412714,-1.64224506096312,3.60375624146318
2,0.275055199795521,0.598750749000965,-0.173446113649324,-0.401878451455537,1.07944420742295,0.464531963208919,1.0306756749237,0.603864163871916,-0.126735373078482
2.449489743,-0.637682977688048,-0.210072343961452,-0.163632897709626,-0.395693927112461,-0.730738716893361,0.475613612321591,0.434611017662793,0.6230694489211,-0.49875802672335
2.828427125,-0.321539175588418,0.20463609106781,-0.153819681769928,-0.389509402769385,1.05416513420746,0.486695261434263,0.433992877051219,0.642274733970284,0.184738135913633
3.16227766,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,-0.159005620936687,-0.196343159230714,0.00378651362521731,-0.0874048375485137,0.292549186054474,0.665011109200716,0.284513107277313,0.104754034073005,-0.42237734499401
1.414213562,-0.610913056076556,0.218365275798548,-0.725365167712325,-0.377140354083232,1.02888606099196,1.17779535427473,0.43275659582807,-1.5462186357172,-0.923940944273469
2,0.934112725606274,-0.99830165982776,1.05796380169275,0.812724333771023,-0.18211573408816,0.519940208772278,-0.163308061432832,0.699890589117836,-0.451548544892856
2.449489743,0.0213745481227046,-0.991437067462391,-0.114566818011137,-0.364771305397079,0.404425858540281,-1.47578852596042,-0.163926202044406,0.71909587416702,-0.0559211503327418
2.828427125,-0.584143134465065,0.238959052894655,-0.695925519893232,-0.358586781054003,-1.40575706577603,-1.46470687684775,-0.16454434265598,0.738301159216204,-0.888533832900599
3.16227766,NA,NA,NA,NA,NA,NA,NA,NA,NA
